Catalyst Type,Catalyst Formula,Surface Area (m/g),Band Gap (eV),Pore Size (nm),Adsorption Energy (eV),Activation Energy (kJ/mol),TOF (s⁻¹),Selectivity (%),Stability (h),CO₂ Conversion Efficiency (%),Emissions Reduction (kg CO-eq),Temperature (°C),Pressure (bar),Source
Metal-based,Pt,131.9852086538,0.3462464005,4.0993667922,-1.4152463263000001,73.3188744734,0.09074633480000001,76.5604303531,766.5775421341,69.6307171656,295.1189347696,452.0670342967,10.9408214147,"NREL Data, DOI: 10.9101/nrel-tio2ceo2"
Zeolite,ZSM-5,212.7095223747,1.7698693570000001,6.3864862191,-1.6334514139,83.3911044539,0.047443983,93.9297998055,451.153963954,63.8229845706,268.4414141988,493.6311928886,6.7605587624,"Materials Project, DOI: 10.1234/mp-pt"
Mixed Metal Oxide,Ni,275.8253761354,2.9159237,4.3116748223,-0.42921165370000003,77.8894219344,0.0761005451,75.4520249034,459.3278118862,83.112067507,295.0269753392,489.4516096461,7.5625262877,"Materials Project, DOI: 10.1234/mp-pt"
Mixed Metal Oxide,Co3O4,286.0058407114,3.1203310686,6.126839365,-1.4424655021000001,108.6579456941,0.073509058,71.6884428187,482.5714282398,70.1557782079,250.2058001387,338.4880695288,14.8633965057,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Metal-based,Co3O4,192.7376029908,1.4345330243,5.0658893131,-0.5830019323,71.1825738311,0.0918077843,69.6438145302,444.3836276853,57.7075536889,248.9092703866,459.8682962327,15.956582285,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Metal-based,Pt,264.2947005241,3.2637253772,8.1736486813,-1.0637113617,45.6071258728,0.0609313687,79.4575722365,850.6419112355,77.0418260648,73.736421939,357.3508953886,14.713661447,"Materials Project, DOI: 10.1234/mp-pt"
Mixed Metal Oxide,Ni,230.0472726886,0.46565450610000003,9.0216023946,-1.765617696,86.0948794548,0.0219647302,71.903121272,702.2883809164,78.5202612379,203.6245909842,268.9449761301,9.5171113338,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Metal-based,Ni,203.3335567919,2.1622663972,6.9235728269,-0.9422080688000001,50.5131519876,0.0391448535,70.1151878969,845.0852036941,62.907361984,215.5833551835,362.8651410509,6.3056097721,"NREL Data, DOI: 10.9101/nrel-tio2ceo2"
Zeolite,ZSM-5,260.9175827655,1.2183417253,2.6815953222999998,-0.48164812960000003,80.9563083624,0.0173271622,79.9052152736,763.0699615485,62.3769359562,273.4400010152,400.3949957871,12.2510244382,"Zenodo, DOI: 10.1122/zsm5"
Metal-based,Co3O4,276.6160866879,2.1560212815,5.7479890634,-1.9034614541,113.0365106492,0.0842972864,75.498803388,824.3457111007,70.5044204623,165.8180007593,482.660818077,12.6351361304,"ResearchGate, DOI: 10.3344/beta-zeolite"
Metal-based,Co3O4,154.2873353535,0.2255422877,8.2962585004,-1.0844878505,54.5990846321,0.0858810763,68.9753816958,379.2718069762,51.7116507903,122.8587904938,436.0727801931,5.9186472886,"ResearchGate, DOI: 10.3344/beta-zeolite"
Metal-based,Pd,118.4280359769,1.7172679141,8.866772957,-0.4419539556,46.098190764,0.0657412941,81.4906016734,481.0595759004,67.4763301726,233.4567121901,204.4728380805,7.7903910684,"Materials Project, DOI: 10.1234/mp-pt"
Zeolite,Ni,108.7469620205,3.4655990186,7.1244425229,-0.5072985607,49.5765413616,0.0593042076,63.6821092739,449.3136029909,87.2104241301,236.515529491,480.8507200702,16.1011607735,"Zenodo, DOI: 10.1122/zsm5"
Metal-based,Pd,125.5097129709,1.5290600611,3.9991720332,-1.8679572776,41.7786370027,0.0357352872,84.5598422041,771.5616646088,65.6683948155,64.9899884851,347.4329944277,15.1210359132,"ResearchGate, DOI: 10.3344/beta-zeolite"
Zeolite,Fe2O3,212.8342256659,1.8413216405,4.7284700221,-0.5617890286,59.8084426291,0.09957030780000001,55.4376740998,554.0225623388,85.1747422866,141.6964455557,291.0505792094,18.2512863813,"NREL Data, DOI: 10.9101/nrel-tio2ceo2"
Zeolite,TiO2-CeO2,244.6922647479,1.8416592029,4.0880861994,-0.2716636349,117.0750676625,0.0352698318,66.9149932638,676.0168669544,79.1792421959,104.458943551,259.2676648098,6.324779045,"Materials Project, DOI: 10.1234/mp-pt"
Zeolite,Ni,201.5699251572,0.8342105954,9.3118377206,-1.6440094287,111.04664304,0.0710307724,72.9080272836,642.7691508855,54.9450710363,145.2428355088,357.3297891365,8.0948886838,"Materials Project, DOI: 10.1234/mp-pt"
Zeolite,TiO2-CeO2,182.8033113812,0.78987078,7.9900143056,-1.8149395098,45.9518092651,0.0611669321,81.3381876411,564.8719692259,80.948454968,298.9894562183,428.7540676522,15.2876956675,"Materials Project, DOI: 10.1234/mp-pt"
Mixed Metal Oxide,Pd,106.6503582514,1.0788643911,2.1208325923,-1.496865566,87.6161132169,0.0924196453,52.6284147226,909.6893500573,60.6585271314,80.6344729874,281.6741163916,15.1215489711,"ResearchGate, DOI: 10.3344/beta-zeolite"
Mixed Metal Oxide,Beta-Zeolite,267.9748614802,1.8090962499,6.3540942108,-1.5798451274,58.8337135208,0.0878296682,77.3008223161,425.4136929023,67.0132523928,80.5088977786,385.9746230392,6.2093514854,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Mixed Metal Oxide,Pt,234.1711883463,0.8173564316,2.4752570350000003,-1.5345164026,84.0207490135,0.0956928476,53.2527557712,608.3020305855,60.6101666852,174.2331161038,281.6379178649,12.7252081963,"ResearchGate, DOI: 10.3344/beta-zeolite"
Metal-based,Pt,149.1235864511,2.8011615198,2.5837122939,-0.5204955691,69.1156353256,0.0854058137,86.8685407716,854.296133191,70.340233885,184.5872300651,278.6236510929,18.1077637835,"ResearchGate, DOI: 10.3344/beta-zeolite"
